"Data";"Instituto";"Bolsonaro (PSL)";"Fernando Haddad (PT)";"Não Válidos";"Entrevistas";"link"
2018-10-25;"Datafolha";48;38;14;9184;"https://www.poder360.com.br/banco-de-dados/"
2018-10-25;"Parana Pesquisas";53;34,4;12,6;2120;"https://www.poder360.com.br/banco-de-dados/"
2018-10-24;"Real Time Big Data";49;38;13;5000;"https://www.poder360.com.br/banco-de-dados/"
2018-10-24;"Ipespe";51;37;12;2000;"https://www.poder360.com.br/banco-de-dados/"
2018-10-23;"Ibope";50;37;13;3010;"https://www.poder360.com.br/banco-de-dados/"
2018-10-23;"Vox Populi";44;39;17;2000;"https://www.poder360.com.br/banco-de-dados/"
2018-10-21;"MDA";48,8;36,7;14,5;2002;"https://www.poder360.com.br/banco-de-dados/"
2018-10-21;"FSB";52;35;13;2000;"https://www.poder360.com.br/banco-de-dados/"
2018-10-20;"Real Time Big Data";52;37;11;5000;"https://www.poder360.com.br/banco-de-dados/"
2018-10-18;"Datafolha";50;35;15;9137;"https://www.poder360.com.br/banco-de-dados/"
2018-10-18;"DataPoder360";57;31;12;4000;"https://www.poder360.com.br/banco-de-dados/"
2018-10-18;"DataPoder360";57;31;12;4000;"https://www.poder360.com.br/banco-de-dados/"
2018-10-18;"Datafolha";50;35;15;9128;"https://www.poder360.com.br/banco-de-dados/"
2018-10-17;"Parana Pesquisas";52,9;33,9;13,2;2080;"https://www.poder360.com.br/banco-de-dados/"
2018-10-17;"Vox Populi";43;37;20;2000;"https://www.poder360.com.br/banco-de-dados/"
2018-10-17;"Ipespe";51;37;13;2000;"https://www.poder360.com.br/banco-de-dados/"
2018-10-17;"Real Time Big Data";52;35;13;5000;"https://www.poder360.com.br/banco-de-dados/"
2018-10-15;"Ibope";52;37;11;2506;"https://www.poder360.com.br/banco-de-dados/"
2018-10-14;"FSB";51;35;14;2000;"https://www.infomoney.com.br/mercados/politica/noticia/7702690/bolsonaro-tem-59-dos-votos-contra-41-de-haddad-diz-pesquisa-70-veem-candidato-do-psl-como-o-proximo-presidente"
2018-10-13;"Real Time Big Data";48;33;19;5000;"https://www.poder360.com.br/banco-de-dados/"
2018-10-10;"Ideia Big Data";48;41;11;2036;"https://www.poder360.com.br/banco-de-dados/"
2018-10-10;"Datafolha";49;36;15;3235;"https://www.poder360.com.br/banco-de-dados/"
2018-10-09;"Ipespe";51;36;14;2000;"https://www.poder360.com.br/banco-de-dados/"
2018-10-06;"Ibope";45;41;15;3010;"https://www.poder360.com.br/banco-de-dados/"
2018-10-06;"Datafolha";45;43;12;2506;"https://www.poder360.com.br/banco-de-dados/"
